,year,month,day,day_of_week,day_of_year,quarter,hour,minute,second,temp,cond,do,turb,chl-a
128,2019,3,19,1,78,1,18,53,33,31.01906,95.34529,10.66502,205.6636,320.2270000000001
129,2019,9,22,6,265,3,5,57,57,29.50243,108.2157,5.564116,124.5318,659.3874
130,2019,3,29,4,88,1,11,3,9,30.06512,96.58152,3.68075,39.07334,306.3118
131,2019,3,9,5,68,1,10,58,5,30.23391,105.8986,3.01709,27.19048,50.64321
132,2019,4,4,3,94,2,17,30,17,29.01642,74.76021,3.18512,71.70336999999998,74.62891
133,2019,3,10,6,69,1,10,28,5,30.045,104.1405,2.461314,20.8524,53.2067
134,2019,10,3,3,276,4,20,58,9,28.97581,114.5872,4.801847,137.0961,781.0959
135,2019,2,26,1,57,1,17,0,0,30.31642,100.4109,7.458277000000002,75.00806,75.35041
136,2019,10,2,2,275,4,0,47,0,29.28837,113.486,5.710229,145.6759,619.0846
137,2019,3,31,6,90,1,16,33,9,30.04452,94.71618,3.68335,223.7829,201.1576
138,2019,3,27,2,86,1,2,4,44,30.03419,95.1874,2.900164,47.55335,281.7634
139,2019,9,25,2,268,3,20,32,0,29.66259,113.0035,5.08839,100.9318,427.5469
140,2019,3,16,5,75,1,8,3,32,30.28619,91.85198,8.937474,87.06466999999998,227.8702
141,2019,9,28,5,271,3,16,2,0,30.13969,114.3248,10.45442,184.1435,769.9754
142,2019,2,27,2,58,1,14,7,53,30.327820000000006,101.1642,7.2829380000000015,57.59132,64.72469
143,2019,9,30,0,273,3,2,32,0,29.393040000000006,111.5068,6.289146,249.3246,624.8480000000002
144,2019,10,1,1,274,4,22,17,0,29.32192,112.4835,5.922772,97.80937,644.9373
145,2019,2,24,6,55,1,15,50,0,30.15891,97.78818,7.21461,63.94086,52.38514
146,2019,4,2,1,92,2,4,43,9,30.59127,97.86423,3.505795,59.28926,108.5289
147,2019,3,20,2,79,1,19,4,44,31.24341,97.55748,8.108044,94.18272,328.7229
148,2019,9,24,1,267,3,10,12,57,29.468020000000006,109.736,5.642042,113.6736,508.088
149,2019,9,28,5,271,3,2,32,0,29.62759,112.2585,7.989833,120.8878,665.6881
150,2019,3,4,0,63,1,17,47,54,30.40447,97.85414,7.819036,72.12482,94.53442
151,2019,2,22,4,53,1,7,40,0,29.91398,95.37511,10.47868,28.83524,53.50568000000001
152,2019,10,7,0,280,4,10,43,57,28.87835,114.9074,4.481897,183.3647,723.9042
153,2019,10,2,2,275,4,17,28,9,28.981240000000003,113.3586,5.857522,115.9841,982.1888
154,2019,9,28,5,271,3,1,47,0,29.69707,112.4929,8.583466,127.2424,662.3069
155,2019,2,27,2,58,1,18,47,53,30.47404,101.4435,7.701677,60.96589,67.775
156,2019,2,26,1,57,1,6,20,0,30.31237,99.90835,8.807926,60.88525,55.48403
157,2019,3,14,3,73,1,23,23,32,30.21782,92.63152,5.182921,43.48698,165.2538
158,2019,3,10,6,69,1,16,8,5,30.3444,104.0975,4.303854,30.34421,74.68665
159,2019,2,26,1,57,1,19,20,0,30.27251,100.1974,6.597426,55.97561,60.20989
160,2019,9,13,4,256,3,6,45,0,30.74995,109.2948,8.5287,40.49939000000001,52.78564
161,2019,3,12,1,71,1,9,28,5,28.80742,85.13519000000002,3.202888,58.03693000000001,57.67399
162,2019,3,31,6,90,1,5,3,9,29.93933,95.40607,1.312443,83.90578000000002,195.9197
163,2019,3,6,2,65,1,12,18,5,30.468090000000004,100.4371,7.459352,23.30244,54.42493
164,2019,9,22,6,265,3,8,57,57,29.40495,108.964,3.845185,100.815,598.0313
165,2019,2,22,4,53,1,23,0,0,30.04416,96.45347,8.538198,47.76353,58.37328
166,2019,3,26,1,85,1,19,34,44,29.960420000000006,95.01958,3.036964,58.84027,307.2821
167,2019,3,18,0,77,1,17,23,33,30.87643,94.58859,10.64656,262.8723,287.4172
168,2019,3,6,2,65,1,13,38,5,30.42822,100.8964,6.375175,38.47792000000001,46.79555
169,2019,9,27,4,270,3,15,17,0,29.47445,113.1044,6.217103,97.274,572.9886
170,2019,2,27,2,58,1,19,17,53,30.40461,101.3344,7.091125,58.12316,66.03745
171,2019,3,23,5,82,1,17,44,44,30.9806,100.1871,5.860545,45.15868,361.9363
172,2019,3,15,4,74,1,21,43,32,30.47802,93.29552,7.733727,75.46021,223.8259
173,2019,3,17,6,76,1,13,53,33,30.61253,94.36977,8.975055000000003,218.2896,244.0253
174,2019,9,28,5,271,3,4,17,0,29.46402,112.8504,6.089645,118.8718,611.4882
175,2019,3,27,2,86,1,8,44,44,30.18334,92.31515,8.040403999999999,42.01238,351.5441
176,2019,3,30,5,89,1,3,23,9,30.34253,96.15679,5.645228,46.54257,254.4741
177,2019,2,23,5,54,1,15,20,0,30.21811,96.74728,9.451316,47.12055,72.6768
178,2019,9,18,2,261,3,22,57,57,29.81608,106.924,10.12751,102.3898,1089.858
179,2019,4,5,4,95,2,3,40,17,29.24714,77.51671999999998,4.2784900000000015,75.79954000000002,53.37165
180,2019,3,28,3,87,1,7,3,9,30.22357,93.9836,7.113639999999998,29.57806,318.7173
181,2019,9,21,5,264,3,4,57,57,29.76386,107.8841,7.533666999999999,145.8948,1014.188
182,2019,2,26,1,57,1,8,30,0,30.087390000000006,99.67276,6.023246,68.17859,59.70575
183,2019,3,26,1,85,1,14,14,44,29.87233,93.30917,4.505664,67.08062,308.1792
184,2019,3,21,3,80,1,9,24,44,30.91896,97.81001,3.848881,96.33646,280.6594
185,2019,3,15,4,74,1,5,53,32,30.33737,91.63641,7.414289,42.04411,174.9711
186,2019,3,10,6,69,1,5,18,5,30.21273,102.6933,3.119491,23.54546,63.43776999999999
187,2019,3,11,0,70,1,12,28,5,28.70236,84.80827,2.6669110000000003,33.74759,48.79719
188,2019,3,4,0,63,1,22,57,54,30.25964,100.1152,3.868191,53.59446,49.7673
189,2019,9,13,4,256,3,20,15,1,30.81075,108.6873,10.01861,33.8845,52.2565
190,2019,3,22,4,81,1,7,44,44,30.39956,100.0421,3.479972,84.11929,281.4271
191,2019,3,23,5,82,1,4,54,44,30.95922,99.4191,7.428472,68.48756,324.7282
192,2019,2,23,5,54,1,8,30,0,29.96113,95.724,9.043598,40.74281,57.51989
193,2019,9,18,2,261,3,10,12,57,29.56007,107.413,12.5183,112.431,880.2692
194,2019,3,20,2,79,1,16,34,44,31.21762,97.39169,9.120704,100.3475,312.821
195,2019,3,14,3,73,1,11,23,32,29.77625,91.51878,3.332395,29.991,107.981
196,2019,4,4,3,94,2,20,40,17,29.20521,76.74486,3.09213,62.10029,70.13577
197,2019,3,9,5,68,1,22,18,5,30.66964,101.8962,5.420191,20.96595,67.18027
198,2019,10,1,1,274,4,1,17,0,29.25784,111.5967,8.609468,220.5543,823.804
199,2019,2,24,6,55,1,20,30,0,30.22651,98.6701,6.120474,53.99675,39.55634000000001
200,2019,9,24,1,267,3,0,12,57,29.69963,110.4407,4.731081,80.60619,497.4844
201,2019,3,3,6,62,1,1,37,53,30.06047,98.37215,3.633028,41.80901,47.91309
202,2019,2,24,6,55,1,16,20,0,30.22816,97.87299,7.788517999999999,57.16347,62.88336999999999
203,2019,9,24,1,267,3,10,42,57,29.461140000000004,110.6353,4.446479,103.0582,504.2362
204,2019,3,29,4,88,1,3,43,9,30.38707,94.33944,6.6092830000000005,38.38137,320.2679
205,2019,4,1,0,91,2,3,13,9,30.23292,95.22147,3.709524,61.57808000000001,161.0744
206,2019,3,9,5,68,1,7,38,5,30.29405,104.7778,3.091873,13.51424,59.70131
207,2019,3,21,3,80,1,7,44,44,30.97436,98.02127,5.942933999999998,93.74286,302.7045
208,2019,2,28,3,59,1,2,37,53,30.47847,103.3506,5.506516,56.88759,55.97124
209,2019,4,3,2,93,2,3,3,9,29.33085,80.01623000000002,2.807157,127.8436,68.51386
210,2019,3,6,2,65,1,9,58,5,30.31847,99.33434,7.529209,19.53145,51.53109
211,2019,2,25,0,56,1,16,30,0,30.22443,98.64854,7.454442999999999,45.47084,61.5276
212,2019,3,8,4,67,1,8,8,5,30.177540000000004,104.9771,3.675807,21.72246,58.82353000000001
213,2019,4,1,0,91,2,9,43,9,29.95644,95.0926,3.335776,117.696,132.341
214,2019,3,27,2,86,1,8,4,44,30.162470000000006,93.85591,4.766992,45.04817,311.6168
215,2019,3,14,3,73,1,8,33,32,29.77406,92.10954,5.353713,28.971090000000004,115.7793
216,2019,2,21,3,52,1,9,20,0,29.5985,93.46868,7.710369,69.15472,53.36983000000001
217,2019,3,15,4,74,1,5,13,32,30.35756,91.89629,6.872016,41.32309,174.4981
218,2019,2,21,3,52,1,13,10,0,29.67707,93.75383,7.53862,47.02279,51.98804000000001
219,2019,9,16,0,259,3,8,0,1,29.89986,105.6643,7.849466,87.27802,330.5019999999999
220,2019,2,25,0,56,1,3,10,0,30.50563,99.46418,8.980147,45.82994,54.60239
221,2019,4,2,1,92,2,15,43,9,30.67623,97.55581,4.851974,123.2629,111.584
222,2019,3,8,4,67,1,18,28,5,30.99181,104.2936,6.752650999999998,26.41512,70.08533
223,2019,3,14,3,73,1,5,13,32,30.00072,92.78532,4.928885,26.98549,110.6325
224,2019,3,26,1,85,1,3,34,44,30.08115,92.47977,5.598758,63.23309,311.9946
225,2019,4,4,3,94,2,5,30,17,28.56613,73.54751,1.828661,73.50425,59.30703000000001
226,2019,9,20,4,263,3,23,57,57,30.00672,108.368,7.1002410000000005,110.0328,581.689
227,2019,9,25,2,268,3,7,42,57,29.4783,112.007,4.018199,94.92628,445.0829
228,2019,4,3,2,93,2,0,23,9,29.43673,79.4706,3.453471,110.5155,82.14665
229,2019,3,17,6,76,1,17,53,33,30.7918,94.08392,9.325168,212.2629,286.6549
230,2019,3,29,4,88,1,9,13,9,30.05458,95.63425,2.339676,35.50239000000001,309.6311
231,2019,9,21,5,264,3,6,12,57,29.624540000000003,107.8562,6.579573,159.5276,808.9807
232,2019,3,23,5,82,1,5,54,44,30.847690000000004,99.34404,6.724297,70.87337,314.643
233,2019,9,28,5,271,3,5,47,0,29.327340000000003,112.3729,5.764593,99.57141,590.4979
234,2019,9,16,0,259,3,16,30,1,29.98994,105.8851,8.858323,78.26393,450.3095
235,2019,3,8,4,67,1,3,28,5,30.415640000000003,103.8251,4.962404,30.5746,59.95593
236,2019,2,26,1,57,1,5,10,0,30.39348,99.99804,7.873777,59.17279,53.44252
237,2019,3,7,3,66,1,1,38,5,30.85055,102.0867,7.187131,24.11549,65.40116
238,2019,2,25,0,56,1,16,40,0,30.2219,98.68884,7.475781,48.38882,66.68936
239,2019,10,4,4,277,4,3,43,9,28.95253,114.8806,6.3539400000000015,128.7965,789.9594
240,2019,3,30,5,89,1,4,53,9,30.21939,96.78318,4.96665,71.83624,254.0163
241,2019,3,22,4,81,1,15,14,44,30.54161,99.25835,5.694997,84.44505,344.3004
242,2019,2,26,1,57,1,3,40,0,30.47823,101.3881,7.392438999999999,49.98823,49.94767
243,2019,3,12,1,71,1,12,28,5,28.97392,85.55781999999998,3.501637,25.23454,53.67793
244,2019,4,1,0,91,2,10,43,9,29.96512,95.56001,2.294344,59.15103000000001,136.9827
245,2019,9,30,0,273,3,14,2,0,29.171540000000004,111.7955,5.012207,156.09,600.5064
246,2019,9,30,0,273,3,21,47,0,29.31002,112.2268,4.828246,134.0728,774.544
247,2019,3,20,2,79,1,2,43,33,31.217990000000004,97.35272,7.80046,184.3923,271.6928
248,2019,3,27,2,86,1,4,14,44,30.34936,94.08575,6.621647,45.92308,306.3452
249,2019,9,28,5,271,3,19,47,0,29.5826,113.6669,5.7773010000000005,175.1344,764.5613
250,2019,3,30,5,89,1,9,13,9,30.01648,96.95618,2.649125,100.6755,256.2175
251,2019,3,10,6,69,1,23,48,5,28.9073,84.43231999999998,5.065104,30.30122,50.43214
252,2019,2,28,3,59,1,23,37,53,30.61813,103.8321,9.133658,46.30841,53.83076
253,2019,3,22,4,81,1,14,4,44,30.4508,99.23086,4.962529,101.3819,319.5706
254,2019,2,25,0,56,1,1,20,0,30.289340000000006,98.5296,5.582202,47.64424,55.96893000000001
255,2019,3,10,6,69,1,14,48,5,30.313990000000004,104.106,3.819034,21.45277,66.52025
256,2019,4,2,1,92,2,23,3,9,29.49207,80.42412,2.712046,104.8918,80.63818
257,2019,2,25,0,56,1,21,10,0,30.26499,99.35309,6.494783,66.18414,63.15493000000001
258,2019,10,1,1,274,4,18,2,0,29.337640000000004,112.0328,7.842913,121.738,734.0663
259,2019,3,17,6,76,1,22,13,33,30.82928,94.03451,10.05756,220.8771,316.4949
260,2019,3,6,2,65,1,19,38,5,30.836440000000003,101.1713,9.392326,15.52449,67.28797
261,2019,2,23,5,54,1,12,40,0,30.16545,96.81953,9.941761,49.40152,83.78185
262,2019,9,26,3,269,3,0,47,0,29.4187,112.4308,5.244742,88.90675,489.5743
263,2019,9,16,0,259,3,12,30,1,29.88333,105.6792,8.314635,62.55118,337.7891
264,2019,3,12,1,71,1,0,8,5,29.16036,87.69285,2.371297,24.43532,56.31588000000001
265,2019,9,12,3,255,3,15,45,0,31.05719,109.2069,12.94037,44.32747,66.79881999999999
266,2019,9,29,6,272,3,5,32,0,29.50133,111.2729,6.257512,188.7758,660.8598
267,2019,3,12,1,71,1,19,58,5,29.407020000000006,86.54364,3.72433,24.22605,91.98804
268,2019,3,31,6,90,1,17,23,9,30.05517,94.60639,3.177569,223.0637,209.8555
269,2019,3,20,2,79,1,17,54,44,31.23044,97.03752,9.037671,110.758,329.5679
270,2019,3,14,3,73,1,15,53,32,30.1911,91.84261,7.467619,36.02268,151.953
271,2019,3,12,1,71,1,17,8,5,29.20945,87.3066,2.800327,27.36482,79.79384
272,2019,3,5,1,64,1,5,47,54,30.51108,99.62457,7.272142,61.36272,55.71072
273,2019,3,9,5,68,1,4,18,5,30.53806,104.4254,4.266556,43.17429,64.80565
274,2019,3,12,1,71,1,21,48,5,29.33252,87.71624,3.215507,23.65541,75.60123
275,2019,3,29,4,88,1,0,43,9,30.5929,94.76729,7.759848,31.84117,321.0502
276,2019,9,19,3,262,3,15,12,57,29.51037,105.6824,7.122605,102.6943,828.3203
277,2019,3,13,2,72,1,17,23,32,29.816240000000004,88.96708000000002,4.47654,27.4304,109.4298
278,2019,10,5,5,278,4,2,13,9,29.09792,115.0773,5.63159,147.0811,1026.579
279,2019,3,8,4,67,1,16,38,5,30.4991,104.8244,6.019469,42.56915,78.03542
280,2019,3,1,4,60,1,17,27,53,30.19045,94.90215,6.387042,49.68888,45.65364
281,2019,9,24,1,267,3,2,42,57,29.71955,110.6846,5.764113,136.7093,598.27
282,2019,9,16,0,259,3,1,45,1,30.12731,105.6918,7.4880270000000015,69.75887,334.8343
283,2019,3,4,0,63,1,9,47,53,30.07089,97.37895,5.24578,56.50295,51.45765
284,2019,10,2,2,275,4,17,58,9,28.953290000000006,113.6077,5.762494,105.5526,915.2596
285,2019,9,15,6,258,3,9,30,1,29.902,106.1886,7.254386999999999,83.58301999999998,243.0925
286,2019,3,10,6,69,1,4,18,5,30.27627,102.667,2.973317,21.80862,63.46782
287,2019,3,28,3,87,1,14,43,9,30.31391,95.67262,6.533673,38.42264,389.8241
288,2019,3,16,5,75,1,20,3,33,30.55299,94.14408,6.786426,245.6158,284.399
289,2019,3,10,6,69,1,21,18,5,29.08657,85.47213,5.575542,35.676,54.22905
290,2019,3,16,5,75,1,18,13,33,30.52376,93.01362,9.148089,151.5369,299.1665
291,2019,3,25,0,84,1,11,4,44,29.69806,93.55482,2.617217,76.82207,279.9565
292,2019,2,24,6,55,1,3,0,0,30.25747,99.02628,6.164259,42.61368,50.52659
