datetime,actual_conductivity,do_concentration,turbidity,chl-a_concentration,temperature
2019-02-22 11:40:00,96.99119,8.734509,38.48857,50.37113,29.87258
2019-02-22 11:50:00,95.53236,9.172725,57.55016,56.81358,29.86738
2019-02-22 12:00:00,94.53375,10.05425,59.76054,72.71645,29.89566
2019-02-22 12:10:00,95.31478,10.49531,56.6604,65.38352,29.9202
2019-02-22 12:20:00,94.68573,10.21078,52.01693,69.86064,29.91365
2019-02-22 12:30:00,94.61952,10.17251,44.12108,70.43394,29.91337
2019-02-22 12:40:00,94.56231,9.698314,33.20348,65.50533,29.89524
2019-02-22 12:50:00,94.60769,9.14907,49.68005,63.99932,29.90414
2019-02-22 13:00:00,94.70116,8.771662,44.54973,56.15604,29.8856
2019-02-22 13:10:00,94.54013,9.138946,51.34837,72.39088,29.91311
2019-02-22 13:20:00,94.70404,9.919482,73.32381,75.30107,29.94126
2019-02-22 13:30:00,94.79439,10.30793,69.43696,77.61377,29.94187
2019-02-22 13:40:00,95.02355,10.19656,52.50296,71.38713,29.96351
2019-02-22 13:50:00,94.79451,9.636886,46.10387,69.45801,29.91874
2019-02-22 14:00:00,94.84077,9.476407,47.54958,71.16426,29.95669
2019-02-22 14:10:00,96.68864,10.59377,74.68202,72.23651,30.01883
2019-02-22 14:20:00,94.91765,9.787987,48.19667,71.00626,29.95721
2019-02-22 14:30:00,94.8567,9.054592,52.45229,68.49451,29.9164
2019-02-22 14:40:00,94.93201,10.00635,42.27018,70.31749,29.962
2019-02-22 14:50:00,94.75425,9.1108,59.71958,62.34838,29.90355
2019-02-22 15:00:00,94.74398,7.950547,65.73718,63.46015,29.88162
2019-02-22 15:10:00,94.77339,8.405551,44.32977,67.59409,29.89006
2019-02-22 15:20:00,95.06072,9.569884,45.31158,63.51876,29.9612
2019-02-22 15:30:00,95.72813,11.33293,41.6284,69.54537,30.01513
2019-02-22 15:40:00,95.95487,11.66144,38.87139,70.06606,30.03336
2019-02-22 15:50:00,95.1244,10.5415,58.2875,70.01235,30.00185
2019-02-22 16:00:00,95.19244,9.166162,64.07301,75.7075,29.96933
2019-02-22 16:10:00,95.26463,9.450859,56.62229,78.41685,29.99086
